"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",5388,4206,2646,31,59.0084752668894,8984,2632,43,336,63,67
"2","ALEXANDER",1532,2410,1357,9,58.1627731725697,4967,240,4,52,3,12
"3","ALLEGHANY",817,787,477,3,62.5134357005758,2014,25,2,38,2,1
"4","ANSON",2456,372,392,2,57.6477343265053,1154,1713,2,334,5,6
"5","ASHE",1191,1486,922,12,61.8803655497092,3484,22,6,71,2,7
"6","AVERY",269,1053,471,1,60.6259754738016,1735,5,2,42,3,1
"7","BEAUFORT",2890,2420,1678,17,60.0212705210564,5226,1549,7,168,18,3
"8","BERTIE",2053,222,373,1,60.4767836919592,879,1680,5,74,5,4
"9","BLADEN",3463,806,1407,7,55.9616399788844,3235,2290,57,55,14,3
"10","BRUNSWICK",6914,9310,7275,56,63.322097219274,20731,1976,47,557,36,59
"11","BUNCOMBE",26908,12371,16910,178,56.5694644029308,50348,2731,84,1812,259,321
"12","BURKE",5141,5645,3555,37,58.7808457365419,13170,900,15,120,17,72
"13","CABARRUS",6000,7397,4580,44,56.3479829088286,13812,3156,25,484,81,199
"14","CALDWELL",3619,6674,3057,42,58.4810334528076,12405,727,11,131,33,21
"15","CAMDEN",506,408,526,9,57.2153209109731,1146,253,5,23,5,8
"16","CARTERET",3873,6688,3995,32,60.1190704688785,13426,611,23,370,35,40
"17","CASWELL",1739,591,548,2,59.5559027777778,1570,1230,4,49,5,7
"18","CATAWBA",6987,12580,6770,56,57.8175273746827,23304,2146,21,443,52,169
"19","CHATHAM",8450,3583,5482,41,60.0849851902483,14085,2222,25,772,69,153
"20","CHEROKEE",1097,1980,1179,15,61.3589323343479,4145,29,22,37,7,10
"21","CHOWAN",1209,672,642,4,61.4538979026514,1815,666,1,25,3,7
"22","CLAY",559,1083,752,5,61.8611921634014,2349,2,3,36,1,2
"23","CLEVELAND",6163,4215,2646,23,58.3616923430674,9209,3461,14,253,27,25
"24","COLUMBUS",3418,1090,1058,3,59.0237026396121,3396,1983,93,49,8,9
"25","CRAVEN",5238,4891,3276,33,60.0810388450662,9821,3047,23,246,40,122
"26","CUMBERLAND",20909,9049,8120,90,54.4949696080486,16664,17737,307,1298,361,401
"27","CURRITUCK",600,961,1050,10,58.154521175124,2368,163,9,42,10,7
"28","DARE",2100,1718,1953,24,59.8165660051769,5518,131,4,80,10,13
"29","DAVIDSON",4851,10797,4094,35,58.5751125044243,17781,1474,35,274,28,53
"30","DAVIE",1003,2267,1151,11,59.0509927797834,3908,376,5,84,6,9
"31","DUPLIN",2761,1389,1061,4,58.8778523489933,3119,1895,7,129,13,7
"32","DURHAM",39288,7281,15700,176,51.7297782048202,34433,21957,142,2574,674,1364
"33","EDGECOMBE",6365,1026,646,6,57.6695262961582,2517,5393,6,76,15,4
"34","FORSYTH",15142,10131,7071,58,57.2468366150238,21539,9067,50,857,153,271
"35","FRANKLIN",3764,1661,1335,14,58.1259226454089,3848,2602,20,200,21,22
"36","GASTON",11056,14466,7261,83,56.9022698229173,25954,5472,55,842,98,130
"37","GATES",814,191,178,0,58.9957734573119,524,602,1,40,6,2
"38","GRAHAM",418,604,283,4,60.1161191749427,1267,1,20,12,2,1
"39","GRANVILLE",5283,2196,1947,21,56.9641155922515,5617,3455,11,202,32,36
"40","GREENE",1548,320,388,1,57.9977846699158,1057,1141,2,32,6,2
"41","GUILFORD",19545,12073,8729,106,56.4898029812375,26351,11930,77,796,250,530
"42","HALIFAX",5250,737,1218,4,58.8338188375642,2805,4097,92,122,22,28
"43","HARNETT",5097,4717,2519,49,55.7426102406719,8813,2764,75,398,69,64
"44","HAYWOOD",4668,3168,2605,20,61.1775164898193,10093,131,13,153,16,16
"45","HENDERSON",4829,7670,6789,44,62.6850300020691,18092,416,22,499,48,73
"46","HERTFORD",2358,201,281,0,59.6700704225352,790,1972,28,22,7,5
"47","HOKE",3280,1111,1148,33,53.6179109834889,2275,2727,210,69,39,34
"48","HYDE",199,45,85,1,58.9272727272727,218,107,0,4,0,0
"49","IREDELL",4782,6661,3933,31,56.8172908418251,12314,2433,18,320,60,73
"50","JACKSON",2302,1247,1442,15,55.7668797443068,4586,86,89,162,27,28
"51","JOHNSTON",5286,5187,3160,39,56.1244148624927,10208,2754,40,339,60,48
"52","JONES",600,300,262,3,59.3725321888412,771,366,0,20,2,3
"53","LEE",4138,2642,1908,28,58.7240706746214,6449,1844,27,166,41,36
"54","LENOIR",6034,2543,1703,10,58.2466472303207,5686,4428,12,77,16,19
"55","LINCOLN",3424,5267,2875,26,57.6130089717046,10176,987,16,242,28,33
"56","MACON",1941,2776,1815,15,61.856881014205,6375,28,13,64,16,19
"57","MADISON",1694,956,1020,7,58.2499320097906,3538,20,4,86,6,7
"58","MARTIN",2039,494,466,4,58.7619047619048,1375,1566,6,26,9,7
"59","MCDOWELL",2114,2799,1732,14,58.5334134254393,6377,207,5,0,16,19
"60","MECKLENBURG",62758,32412,33786,420,52.9555404402671,77970,40892,279,3913,846,2204
"61","MITCHELL",356,1878,786,7,60.0746613809052,2961,4,1,47,4,1
"62","MONTGOMERY",1195,915,607,6,60.067205288285,2119,525,9,48,4,5
"63","MOORE",3680,5710,3715,26,61.2442312085904,11235,1480,34,146,36,64
"64","NASH",7697,4240,2241,20,57.9162558106776,8099,5666,63,180,48,44
"65","NEW HANOVER",14024,12956,10658,127,57.5696014828545,31563,4346,68,1102,149,192
"66","NORTHAMPTON",1645,148,275,0,61.8346228239845,645,1380,4,27,3,1
"67","ONSLOW",3814,4747,3064,34,55.567544386311,8402,2418,23,356,82,90
"68","ORANGE",19848,3550,11060,105,48.6236727135955,26574,3570,59,1858,425,1300
"69","PAMLICO",1080,762,579,2,62.6017333883615,1810,533,9,51,5,4
"70","PASQUOTANK",3635,1482,1576,22,58.5422189128816,3925,2546,6,126,23,25
"71","PENDER",3651,4212,2578,29,58.640305635148,8465,1655,18,216,19,17
"72","PERQUIMANS",878,579,637,3,63.0600858369099,1616,434,3,29,6,2
"73","PERSON",3438,1573,1569,13,57.8559077809798,4476,1937,31,84,21,3
"74","PITT",14069,7201,5519,76,52.6901544760841,16507,9288,54,354,120,183
"75","POLK",1451,1560,1526,8,63.6129812981298,4218,196,5,79,12,7
"76","RANDOLPH",4120,11008,4174,63,58.6153369481022,17745,1060,41,256,30,65
"77","RICHMOND",3276,1083,1055,8,57.9590556990041,3408,1845,48,69,12,10
"78","ROBESON",3185,786,783,13,56.9272078875603,2024,1764,816,57,19,10
"79","ROCKINGHAM",7206,5789,3533,25,58.6083489397692,12250,3821,23,317,28,29
"80","ROWAN",4387,6014,3268,25,59.4197458741054,10888,2379,18,189,34,62
"81","RUTHERFORD",3065,3644,2056,20,59.6854866249289,7508,953,13,228,14,16
"82","SAMPSON",2936,1986,790,5,58.9917789050201,3328,2129,71,87,7,11
"83","SCOTLAND",2720,696,859,6,59.8441952814763,2203,1776,170,78,6,21
"84","STANLY",2229,3665,1806,17,58.7155630426331,6770,729,17,132,5,23
"85","STOKES",765,1636,659,5,59.0920065252855,2865,122,4,52,8,7
"86","SURRY",1965,2620,1192,11,59.5098479612992,5451,165,5,111,12,7
"87","SWAIN",941,525,561,6,59.8814559763896,1836,9,147,21,4,2
"88","TRANSYLVANIA",2188,2161,2280,14,62.9385819659792,6283,160,5,126,12,15
"89","TYRRELL",213,65,128,0,59.7832512315271,317,75,1,8,1,0
"90","UNION",10062,16573,9902,87,54.027877894277,29980,4571,66,769,152,392
"91","VANCE",5080,913,863,10,58.7448295951063,2915,3747,5,110,21,14
"92","WAKE",60452,32096,39393,461,52.3199951662362,90257,27098,278,6367,960,3775
"93","WARREN",2670,347,421,3,59.6416739319965,1027,2213,119,49,7,5
"94","WASHINGTON",1392,225,284,0,59.9126775381378,881,976,1,27,4,4
"95","WATAUGA",3122,2449,2921,49,49.7603325137572,8065,131,10,128,74,45
"96","WAYNE",6897,4468,2366,25,58.1871183483571,7881,5088,23,493,65,67
"97","WILKES",1757,3320,1258,9,59.4227616645649,5866,364,5,51,15,10
"98","WILSON",7834,3177,2159,10,57.5772382397572,6827,5937,17,208,25,23
"99","YADKIN",547,2079,725,6,58.624962764373,3166,103,2,45,8,6
"100","YANCEY",1392,1255,802,3,59.1549826187717,3365,17,6,43,6,6
